[177.91] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[178.94] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[180.03] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[181.12] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[182.18] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[183.27] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[184.33] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[185.47] node 0: n_msg = 3864; bytes = 30912; sys_bytes = 2328
[186.48] node 0: n_msg = 170184; bytes = 1006656; sys_bytes = 62656
[187.58] node 0: n_msg = 0; bytes = 0; sys_bytes = 72
[188.67] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[189.73] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[190.79] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[191.82] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[192.94] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[193.98] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[195.10] node 0: n_msg = 8064; bytes = 64512; sys_bytes = 3403
[196.29] node 0: n_msg = 161448; bytes = 948864; sys_bytes = 60962
[197.36] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[198.45] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[199.54] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[200.59] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[201.66] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[202.75] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[203.84] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[204.92] node 0: n_msg = 9576; bytes = 76608; sys_bytes = 4765
[206.07] node 0: n_msg = 159096; bytes = 942144; sys_bytes = 59498
[207.17] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[208.23] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[209.35] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[210.42] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[211.48] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[212.54] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[213.64] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[214.72] node 0: n_msg = 4032; bytes = 32256; sys_bytes = 2128
[215.81] node 0: n_msg = 228984; bytes = 200261040; sys_bytes = 50260719
[216.90] node 0: n_msg = 170280; bytes = 555935424; sys_bytes = 140699542
